file,num_points,density_qual,mean_neighbor_dist,uniformity,shape_type,elongation,surface_class,mean_curvature,curvature_std,normals_consistency,mean_normal_angle_deg,n_components,isolated_clusters,integrity,integrity_qual
5.01.obj,48,low,0.154174013748248,0.3664309073307402,volumetric,4.377203563774744,highly curved,0.1338766334957059,0.08694622478106512,low (complex/noisy),47.9743568794181,12,0,0.08333333333333333,fragmented or many components
5.02.obj,96,medium,0.029248394634781547,0.4062002462029766,linear,466.07211419925557,slightly curved,0.06237588008582099,0.06045527019529283,low (complex/noisy),30.801935934566824,24,0,0.041666666666666664,fragmented or many components
5.03.obj,2912,medium,0.06988215450271598,0.4698351427804052,volumetric,1.8284659875635034,slightly curved,0.04308621520354888,0.0578754589839769,medium (cylindrical/spherical),23.26479849752339,256,224,0.028846153846153848,fragmented or many components
5.04.obj,2688,medium,0.01918250903965734,0.6167305570505722,linear,53.934171151846,smooth,0.004137955563673185,0.010894578382724288,medium (cylindrical/spherical),19.915788152631354,198,142,0.1484375,fragmented or many components
5.05.obj,1412,medium,0.014197622721864266,0.3541486385560682,linear,353.55361896099873,smooth,0.009873243312882007,0.009120274058952375,medium (cylindrical/spherical),16.070912430729887,16,4,0.36756373937677056,fragmented or many components
5.06.obj,3350,medium,0.07434041795044902,0.4970706553686109,planar,4.630007828019821,slightly curved,0.023765653352478752,0.023043199921287907,medium (cylindrical/spherical),21.005084498748595,61,0,0.44029850746268656,fragmented or many components
5.07.obj,26296,high,0.0326752781165372,0.4187997195224068,volumetric,3.10421253733585,smooth,0.010115030485624772,0.019818880713160632,medium (cylindrical/spherical),22.81879436966073,10712,10680,0.000608457560085184,fragmented or many components
5.08.obj,3287,medium,0.0404625724077972,0.4187997721910389,linear,42.35236651838895,smooth,0.010081923263595598,0.019649764890910026,medium (cylindrical/spherical),22.813570733645207,1339,1335,0.004867660480681472,fragmented or many components
5.09.obj,4998,medium,0.062438412921082494,0.6261802470773619,planar,9.730536461618934,smooth,0.007710701043711342,0.029889690582731953,high (planar/smooth),7.083078035929007,10,0,0.5170068027210885,fragmented or many components
5.10.obj,4998,medium,0.062440442050890256,0.6261603504388106,planar,9.730198165708684,smooth,0.007710323025468565,0.029887434466372712,high (planar/smooth),7.17556549137801,10,0,0.5170068027210885,fragmented or many components
5.11.obj,7489,medium,0.07928364756314535,0.36256609626879716,volumetric,2.3430375680822455,smooth,0.0008493920565062989,0.0022042826817100917,high (planar/smooth),4.22387297063465,8,0,0.8712778742155161,mostly intact with small outliers
5.12.obj,3244,medium,0.0803299437660575,0.49569499478056855,planar,11.615777418879581,smooth,0.00981878084299007,0.031122613757451272,high (planar/smooth),7.492563781885089,15,0,0.21023427866831074,fragmented or many components
5.13.obj,5638,medium,0.0573625464909788,0.7498295102513521,volumetric,3.5787058247335524,smooth,0.0077188844463757615,0.02623409891387151,high (planar/smooth),7.007345283821671,653,640,0.25115289109613337,fragmented or many components
5.14.obj,13489,medium,0.022429011090938332,0.5581910376548761,volumetric,3.733723583837959,smooth,0.0063554124201953485,0.015557574489049009,high (planar/smooth),9.67115720982869,38,0,0.42820075617169545,fragmented or many components
5.obj,79945,high,0.041825363907206155,0.7534973859360379,volumetric,5.124934181478649,smooth,0.015930689466410637,0.033630352601217356,medium (cylindrical/spherical),17.09696086912949,13068,12259,0.2527362561761211,fragmented or many components
