segment,n_points,type,method,linearity,planarity,sphericity,curvature_mean,normal_consistency,n_components,rmse,hausdorff_p95,chamfer,n_artifacts,watertight,n_vertices,n_triangles,file
10,3462,complex,poisson,0.29883162888950265,0.4140498540911691,0.28711851701932817,0.041469229827797,0.970241559106558,2,0.011846413607304427,0.07613052958007455,0.03285399315580101,4,False,9323,18430,valve_0005_lidar_classes.ply
11,749,plane,alpha_shape,0.2642989906195175,0.7132722729951958,0.02242873638528674,0.041087666551789755,0.9645339764785984,3,0.012007997199143628,0.02081269611333548,0.0210694458676702,1,False,664,1420,valve_0005_lidar_classes.ply
12,1338,plane,alpha_shape,0.05668830584828349,0.8616962232154911,0.0816154709362254,0.047761408522553145,0.9590053599754026,1,0.012908709545308513,0.022297473754761928,0.02299978678292113,1,False,1068,2306,valve_0005_lidar_classes.ply
13,666,complex,poisson,0.09307352331502647,0.5639555726039691,0.34297090408100434,0.07147743046483732,0.9059366064169647,1,0.012353508875005094,0.03421923117128946,0.023672286473139764,2,False,2893,5578,valve_0005_lidar_classes.ply
2,646,complex,poisson,0.1253796828895074,0.48254339260000123,0.3920769245104913,0.0819781617940969,0.8781153046814755,16,0.023715422314713068,0.14458056650100012,0.0857704094687545,3,False,4958,9651,valve_0006_lidar_classes.ply
3,51,tube,ball_pivoting,0.8239806841113264,0.15351746792376805,0.022501847964905612,0.08171550980884679,0.9217585500754233,2,0.00940852699059958,0.04510612719005477,0.024867103450918422,1,False,51,67,valve_0006_lidar_classes.ply
5,1652,complex,poisson,0.4483409399628279,0.4949378644235927,0.05672119561357939,0.09635215858430494,0.8183763938134158,1,0.020491936771025742,0.14472769756358358,0.0828891876485804,3,False,7221,14271,valve_0006_lidar_classes.ply
6,215,complex,poisson,0.02814483549094121,0.46590383354536613,0.5059513309636927,0.06345608641325781,0.9096139750384507,18,0.03968739247739742,0.1428140084444793,0.09460784652711896,12,False,3191,6092,valve_0006_lidar_classes.ply
7,63,tube,ball_pivoting,0.9788199415943024,0.007290200019796538,0.013889858385901104,0.0992791249593308,0.8969162314916928,2,0.012277596523833933,0.02577508521544375,0.021934650306021652,3,False,63,48,valve_0006_lidar_classes.ply
8,1673,complex,poisson,0.4091738080904793,0.5593694387164463,0.03145675319307436,0.06191346822209494,0.9302102879015348,1,0.0136928541396693,0.08434188804712085,0.037589851417589346,2,False,4904,9733,valve_0006_lidar_classes.ply
