segment,n_points,type,method,linearity,planarity,sphericity,curvature_mean,normal_consistency,n_components,rmse,hausdorff_p95,chamfer,n_artifacts,watertight,n_vertices,n_triangles,file
6,483,complex,poisson,0.14846521673464674,0.3898945149589277,0.46164026830642557,0.06886632943200262,0.8949611101584163,16,0.02892978869304039,0.12595287941652739,0.0866991156634867,4,False,4240,8202,valve_0078_lidar_classes.ply
7,56,tube,ball_pivoting,0.962147209412911,0.020743453875481294,0.01710933671160781,0.07298390801081686,0.9043936852475987,2,0.009445259285377847,0.022929449090435518,0.01821847350217776,2,False,56,59,valve_0078_lidar_classes.ply
8,1636,complex,poisson,0.33817143187089616,0.6223562791340111,0.03947228899509272,0.06313239012633114,0.9260628003664917,1,0.013303786501392871,0.06670666373344006,0.03235530520479203,3,False,5055,9978,valve_0078_lidar_classes.ply
9,1629,complex,poisson,0.2791281996631866,0.6833233146488882,0.03754848568792523,0.05689139992894413,0.9367881726918187,1,0.013266196931736288,0.12694934561602736,0.047699820798322724,4,False,5205,10335,valve_0078_lidar_classes.ply
10,3690,complex,poisson,0.083911317077997,0.4206838746481205,0.49540480827388245,0.04086908654118306,0.9707920386601716,4,0.010593607307424069,0.03855778871334345,0.021465640603953742,1,False,8597,16991,valve_0078_lidar_classes.ply
11,729,plane,alpha_shape,0.11902052676479957,0.8555981906070788,0.02538128262812176,0.03280108152891486,0.9758015704594928,2,0.011977054897669212,0.020497617929470354,0.02021948534606652,1,False,656,1458,valve_0078_lidar_classes.ply
12,1287,plane,alpha_shape,0.1603304871990814,0.7676464747328958,0.07202303806802289,0.04466564575683318,0.9610313585348168,1,0.012501070140841739,0.02311765104265974,0.02245250123815238,1,False,1070,2346,valve_0078_lidar_classes.ply
13,724,complex,poisson,0.07256907514783925,0.5004271235186932,0.4270038013334675,0.0789870964241948,0.8999011188290978,1,0.012156660351277536,0.028540838087567164,0.021773414678220075,4,False,2957,5695,valve_0078_lidar_classes.ply
2,670,complex,poisson,0.13584064743996552,0.4782473773709111,0.3859119751891234,0.08215021338042737,0.8746838507436014,16,0.025149936699067958,0.14770804545226535,0.0944980768189988,4,False,6006,11733,valve_0079_lidar_classes.ply
3,79,tube,ball_pivoting,0.862741262766771,0.10978626263687681,0.027472474596352263,0.07962522223999532,0.8964318419472878,1,0.010716246232540751,0.028709933575469523,0.021518738656960835,1,False,79,102,valve_0079_lidar_classes.ply
5,1639,complex,poisson,0.041508833281365495,0.886533025057724,0.0719581416609104,0.09851939851982916,0.8074365000040931,1,0.01869753261676775,0.14506742255324703,0.07260381112855245,2,False,6495,12862,valve_0079_lidar_classes.ply
6,242,complex,poisson,0.22725067541105035,0.40726996139909455,0.3654793631898552,0.07357420936107789,0.8942422761027976,16,0.03254951825918071,0.16828806243665706,0.11587003825229358,2,False,4041,7772,valve_0079_lidar_classes.ply
7,110,tube,ball_pivoting,0.9788802590330603,0.003606372630567803,0.017513368336371907,0.08661785219908079,0.8126769134151174,2,0.01091472706934622,0.020911167798655598,0.01962787828267805,2,False,110,160,valve_0079_lidar_classes.ply
8,1312,tube,ball_pivoting,0.5642632525168177,0.4041538472127787,0.03158290027040361,0.05960326774540524,0.9399097708845412,3,0.011799936000825456,0.022799936371384135,0.020069930890765343,3,False,1312,1632,valve_0079_lidar_classes.ply
9,2148,complex,poisson,0.28972056320132017,0.6506300103866591,0.05964942641202077,0.07250546685410474,0.9186933674212479,2,0.012657502468933487,0.06406879112888322,0.02947492335670322,4,False,7095,14092,valve_0079_lidar_classes.ply
10,3034,complex,poisson,0.3853196497667522,0.2971481050021391,0.3175322452311087,0.04464680065547812,0.9697469457988936,5,0.012044359465579748,0.0694571353045214,0.03183917592586341,1,False,7833,15483,valve_0079_lidar_classes.ply
11,683,plane,alpha_shape,0.37708958161795264,0.5973346927394015,0.025575725642645795,0.03617728438069269,0.9724045124740209,2,0.012292094017214952,0.021068308443817477,0.020944538757272944,3,False,579,1274,valve_0079_lidar_classes.ply
12,1416,plane,alpha_shape,0.080156461799033,0.8457932885453129,0.07405024965565417,0.045262342930901533,0.9589311149014867,1,0.012332084906199548,0.02272345484366044,0.02208293771151322,1,False,1172,2568,valve_0079_lidar_classes.ply
13,625,complex,poisson,0.2606549643601033,0.32500761553629565,0.41433742010360103,0.07635383711340862,0.9048230608943484,1,0.01279142541749199,0.03348221951648832,0.023946425911964175,2,False,2798,5400,valve_0079_lidar_classes.ply
2,504,complex,poisson,0.3200207318671521,0.426979497735018,0.25299977039782995,0.0797756098843891,0.8867133221719844,14,0.026295821024262197,0.1388011993291442,0.0894425078638871,6,False,4596,8803,valve_0080_lidar_classes.ply
3,67,tube,ball_pivoting,0.815864450098938,0.16441687874286526,0.019718671158196754,0.06495183167127845,0.9381939416022634,2,0.009638042654826186,0.031988865631978496,0.02061163475930753,1,False,67,85,valve_0080_lidar_classes.ply
5,1547,complex,poisson,0.3849516493381728,0.5617200215456403,0.05332832911618698,0.0972529105846908,0.8103998856415233,1,0.019812745594721983,0.18350336330758374,0.08499662046379083,5,False,6413,12650,valve_0080_lidar_classes.ply
6,244,complex,poisson,0.4398996831844321,0.31198323747510437,0.24811707934046348,0.07970964172130998,0.8684076501305132,15,0.03709346118121305,0.19614220856683842,0.12390723894393067,7,False,4117,7941,valve_0080_lidar_classes.ply
7,94,tube,ball_pivoting,0.9768610774621663,0.0056001175386761705,0.017538804999157467,0.09853168080230934,0.8191128739322786,3,0.03040868544938073,0.05633374227929096,0.043757648343494826,4,False,94,57,valve_0080_lidar_classes.ply
8,1050,complex,poisson,0.4599397180905694,0.49143201415795695,0.048628267751473685,0.05248009589313901,0.9453230988490465,4,0.01743396074721182,0.17716067985819617,0.07485543923995341,2,False,4236,8293,valve_0080_lidar_classes.ply
9,1775,tube,ball_pivoting,0.5032098048002481,0.4525883717070698,0.044201823492682105,0.06661624989054761,0.9210945330932577,3,0.011707570145875121,0.019932533184966333,0.020338622030740352,2,False,1775,2280,valve_0080_lidar_classes.ply
10,3294,complex,poisson,0.40359976613815446,0.27369968022933333,0.3227005536325122,0.04422169958713918,0.9686504376934095,3,0.011189433144886199,0.05653363776074662,0.027013131283319988,2,False,8190,16191,valve_0080_lidar_classes.ply
11,822,plane,alpha_shape,0.33059278361324895,0.6468526460890357,0.02255457029771534,0.04743875142878402,0.9599255883459066,2,0.01252103703548187,0.020401743896494916,0.021738777031132528,3,False,679,1430,valve_0080_lidar_classes.ply
12,1286,plane,alpha_shape,0.05885845069935758,0.8697364579856686,0.07140509131497384,0.049411276151326275,0.9613275099993521,1,0.012821074963225427,0.022522638919086905,0.022886947102223935,2,False,1024,2234,valve_0080_lidar_classes.ply
13,699,complex,poisson,0.06549447317177695,0.5892444254848285,0.34526110134339455,0.08335721769712189,0.8941332134278481,1,0.012812484773185041,0.03565298979385258,0.024095722854477336,2,False,2907,5628,valve_0080_lidar_classes.ply
2,424,complex,poisson,0.4228655675914055,0.26271310443987067,0.31442132796872385,0.07851064313440667,0.876283310684588,16,0.02726736362119055,0.11833407280003956,0.08057065340008845,2,False,3223,6232,valve_0081_lidar_classes.ply
3,86,tube,ball_pivoting,0.7474756202294235,0.22755275639351136,0.02497162337706522,0.0572314064856889,0.9095862625402539,1,0.009484479446214429,0.026317712153710714,0.019339104402394988,1,False,86,106,valve_0081_lidar_classes.ply
5,1460,complex,poisson,0.3314570222606096,0.6028661210989774,0.06567685664041294,0.0980627987842024,0.8147706284903413,1,0.017450026193872325,0.08691864360530728,0.04951214016483813,5,False,5447,10738,valve_0081_lidar_classes.ply
6,496,complex,poisson,0.4129842239084684,0.26695277169890413,0.32006300439262747,0.0806237622893989,0.8922730509778704,19,0.02666590751437897,0.14050249284698596,0.08373758910298386,6,False,4444,8612,valve_0081_lidar_classes.ply
7,108,tube,ball_pivoting,0.9750828695110477,0.0017112794965468425,0.023205850992405404,0.08961278188180198,0.8593174958189901,2,0.009865619626014182,0.018597152355420258,0.01882885888431624,2,False,108,151,valve_0081_lidar_classes.ply
8,1138,tube,ball_pivoting,0.6176897717643065,0.3557379725677528,0.026572255667940563,0.06259291175008778,0.9436844651168282,6,0.014591334976109333,0.020437330347690314,0.02063350189561413,2,False,1138,1300,valve_0081_lidar_classes.ply
9,2149,complex,poisson,0.252806238895017,0.6728969817755072,0.07429677932947584,0.06703834849996236,0.9270059830562293,2,0.013102541036802622,0.08341466165367552,0.034718694518685006,3,False,6529,12978,valve_0081_lidar_classes.ply
10,3052,complex,poisson,0.38778168276782243,0.28144290570377134,0.3307754115284063,0.04229881809522255,0.9722865891575677,4,0.012419080942197503,0.07356306657281365,0.033602416802319436,1,False,7903,15652,valve_0081_lidar_classes.ply
11,734,plane,alpha_shape,0.23152480859421906,0.7421382498185578,0.0263369415872232,0.033055701384267416,0.9757046394466927,3,0.012833778028009737,0.021346016517078917,0.020774534914835253,3,False,632,1392,valve_0081_lidar_classes.ply
12,1351,plane,alpha_shape,0.07751630914479145,0.8631249197606338,0.05935877109457474,0.04980556448645506,0.9462442145904224,2,0.012467621156625934,0.02148707524626206,0.02197800881358517,1,False,1120,2456,valve_0081_lidar_classes.ply
13,703,complex,poisson,0.19054070099848633,0.4790968903067602,0.3303624086947535,0.07870394920895095,0.8954203698312768,1,0.013176929233911613,0.03532216331014261,0.02485860770424979,2,False,2733,5277,valve_0081_lidar_classes.ply
2,324,tube,ball_pivoting,0.5161813842081185,0.19579466718574068,0.28802394860614083,0.05662249445757395,0.9173105228680589,15,0.017858585649179227,0.043788211568681075,0.030697350339347836,13,False,324,369,valve_0082_lidar_classes.ply
3,60,tube,ball_pivoting,0.8298703166017144,0.14966349413831798,0.020466189259967526,0.06411380096800497,0.928736920080154,1,0.010023387168902893,0.028887304166249086,0.021355544162637748,1,False,60,81,valve_0082_lidar_classes.ply
5,1542,complex,poisson,0.3157260129472408,0.6164604678887351,0.0678135191640241,0.09909984453674249,0.8086730735484986,1,0.01870024448429,0.15123930372651717,0.07315874052812121,4,False,6360,12549,valve_0082_lidar_classes.ply
6,310,complex,poisson,0.16419726627487025,0.39133884127704716,0.4444638924480826,0.08962599845710678,0.8949528162820737,15,0.02888997712323075,0.14942999709302596,0.09516627719360052,4,False,4025,7710,valve_0082_lidar_classes.ply
7,59,tube,ball_pivoting,0.7283181074523982,0.14272863748634512,0.12895325506125663,0.0928903457852849,0.8382185633128766,2,0.03619369983756604,0.030501477331411092,0.022540274973229784,1,False,59,54,valve_0082_lidar_classes.ply
8,1758,complex,poisson,0.43158692185507486,0.5265551765008946,0.041857901644030554,0.06483040638219591,0.9227847300029649,1,0.013619371077085432,0.09415664347863406,0.039778462503574696,7,False,5377,10600,valve_0082_lidar_classes.ply
9,2067,complex,poisson,0.3033355011824193,0.6488423086236405,0.04782219019394025,0.05227820313280299,0.9427831664165823,3,0.011580719188274947,0.05062931436839673,0.02538134768759162,1,False,5882,11687,valve_0082_lidar_classes.ply
10,3497,complex,poisson,0.12001071493663175,0.3481004985544228,0.5318887865089454,0.04247351596949559,0.9692629033471686,1,0.010362404608620084,0.030268042542472826,0.019917992657363257,1,False,8350,16486,valve_0082_lidar_classes.ply
11,935,plane,alpha_shape,0.03613499932720895,0.9310723897421028,0.032792610930688186,0.04297585343828405,0.9583944286284355,2,0.011967159207344423,0.01987698908256335,0.020858127333471456,1,False,786,1700,valve_0082_lidar_classes.ply
12,1360,plane,alpha_shape,0.10136729301591461,0.8226232586747918,0.07600944830929356,0.046481132011128565,0.9581457205817957,1,0.012419804135192423,0.022593061199432486,0.022378407097948014,1,False,1101,2416,valve_0082_lidar_classes.ply
13,699,complex,poisson,0.08940489309557112,0.5435415677611429,0.367053539143286,0.07879000581540539,0.8971715956266585,1,0.012493266076014552,0.031765071549168016,0.023209091609644322,1,False,2729,5262,valve_0082_lidar_classes.ply
2,527,complex,poisson,0.06502285134097958,0.57646754405201,0.3585096046070105,0.08001688959169456,0.8936144344237595,15,0.0265872924874342,0.13381677124849295,0.08015338009766007,6,False,4146,7935,valve_0083_lidar_classes.ply
3,78,complex,poisson,0.792969926796852,0.187738916082398,0.019291157120750052,0.042058169895809884,0.9588082583583543,1,0.009946755823664341,0.04176462083092032,0.025270719249479448,12,False,1477,2771,valve_0083_lidar_classes.ply
5,1624,complex,poisson,0.16322644847164544,0.7627553991080263,0.07401815242032818,0.09943770758904145,0.8165126674796097,1,0.02218273023502161,0.2758529620696511,0.12887688484126258,2,False,8108,15945,valve_0083_lidar_classes.ply
6,366,sphere,poisson,0.16524924117067513,0.405732036834102,0.4290187219952229,0.09066385961458981,0.8270018786776522,16,0.026931872193518447,0.15953408509494552,0.10015427334645013,2,False,4578,8832,valve_0083_lidar_classes.ply
7,113,tube,ball_pivoting,0.9775235370555676,0.0035018381161152365,0.018974624828317237,0.07766571489767732,0.8473223537802627,5,0.019741795821217815,0.032027859108133355,0.025281302454419508,4,False,113,88,valve_0083_lidar_classes.ply
8,1190,tube,ball_pivoting,0.543680707353572,0.4243411039190778,0.03197818872735026,0.05933988231901498,0.9465529628331084,6,0.011284121645126207,0.025032500522621213,0.020472721051758652,6,False,1190,1453,valve_0083_lidar_classes.ply
9,1995,complex,poisson,0.2835017550150859,0.6544722778156811,0.06202596716923312,0.073535804583896,0.9172182295288452,2,0.01358629792182266,0.12831982828292451,0.04665829269575472,5,False,7188,14210,valve_0083_lidar_classes.ply
10,3307,complex,poisson,0.3443956404104938,0.32639757212491777,0.3292067874645884,0.04853745568497325,0.965941748742311,3,0.01210760996730479,0.07024610417916426,0.03263012174358268,1,False,8179,16178,valve_0083_lidar_classes.ply
11,691,plane,alpha_shape,0.27832906426134235,0.6987200814446823,0.022950854293975354,0.033340205527657575,0.9722767739975186,2,0.012251046703467942,0.023031827079151607,0.021935902123548734,2,False,597,1308,valve_0083_lidar_classes.ply
12,1430,complex,poisson,0.03576076118959756,0.8904795610467436,0.07375967776365873,0.050536490303385855,0.9541154211995588,1,0.01478843877779545,0.1321971993516953,0.05143190097913142,6,False,5820,11475,valve_0083_lidar_classes.ply
13,732,complex,poisson,0.18048584892680355,0.3893214244208137,0.43019272665238273,0.07940108147419196,0.8874387651094799,1,0.012784342500955583,0.03033340820817727,0.0230060845860732,5,False,3186,6166,valve_0083_lidar_classes.ply
2,711,complex,poisson,0.22374277576369866,0.38038798411165886,0.3958692401246425,0.0803468660521573,0.8629465431547222,17,0.024797101630207558,0.13397433022557087,0.0873369307070194,6,False,5826,11359,valve_0084_lidar_classes.ply
3,54,tube,ball_pivoting,0.8602479831203231,0.11871258575805793,0.021039431121618993,0.07577125109954029,0.9381569473379807,2,0.007050523483132466,0.015064352673597506,0.014097190840008607,2,False,54,61,valve_0084_lidar_classes.ply
5,1581,complex,poisson,0.3923599244468398,0.5490145286012806,0.05862554695187956,0.09825545387605616,0.8188780606628304,1,0.022273116165294603,0.28318419319266647,0.13663418566691496,5,False,7954,15663,valve_0084_lidar_classes.ply
6,139,complex,poisson,0.23066594377313165,0.36284127480890227,0.4064927814179661,0.022657218868411273,0.9145192105600263,14,0.04135566565890927,0.1576069007728913,0.11780578482342881,3,False,4245,8123,valve_0084_lidar_classes.ply
7,60,tube,ball_pivoting,0.9788199702703809,0.01226659940490727,0.008913430324711785,0.06989897918145628,0.9154975763611456,2,0.009875454831289075,0.019618429852954936,0.017146830337854854,2,False,60,62,valve_0084_lidar_classes.ply
8,1148,complex,poisson,0.3346262756478671,0.6192736647430299,0.04610005960910292,0.05743887430505539,0.9384564148673311,1,0.016433829268380773,0.11783712092220572,0.05330871028969535,6,False,4886,9679,valve_0084_lidar_classes.ply
9,1907,complex,poisson,0.40987639041717977,0.5443469042579087,0.045776705324911585,0.06360955392850554,0.9296053354942827,1,0.012039142504977422,0.05100654416531896,0.02741246720126859,1,False,5137,10201,valve_0084_lidar_classes.ply
10,3302,complex,poisson,0.21349247626769743,0.463311060372653,0.3231964633596495,0.04468712045614419,0.9667198481539432,2,0.011598472936039142,0.09061546826160065,0.035516885172186985,1,False,8379,16556,valve_0084_lidar_classes.ply
11,668,plane,alpha_shape,0.07012433784627253,0.9025447132636233,0.027330948890104182,0.031625622193599726,0.9791149723985938,3,0.012646375558089028,0.02138185613015085,0.022209566748559652,1,False,591,1264,valve_0084_lidar_classes.ply
12,1267,plane,alpha_shape,0.16446786555388734,0.7689322801392767,0.06659985430683599,0.044413222199059244,0.9603674198439629,1,0.012883284770086764,0.023811409742685925,0.023342517811404673,1,False,1019,2188,valve_0084_lidar_classes.ply
13,728,complex,poisson,0.07902850740312052,0.5265686344690129,0.39440285812786663,0.072699809641375,0.9165331436847096,1,0.012510623642569238,0.032206280049499984,0.022580195116846093,3,False,3013,5802,valve_0084_lidar_classes.ply
2,573,complex,poisson,0.23935351374737707,0.4475424477260635,0.3131040385265594,0.07541752532029151,0.9019970479977589,17,0.024699251637714484,0.11834717095999986,0.07499127003948067,6,False,4428,8533,valve_0085_lidar_classes.ply
5,1491,complex,poisson,0.4684743244778441,0.47739475180918356,0.05413092371297233,0.106030602675475,0.7929095383064366,1,0.020344771871595543,0.18007371024012342,0.08929356163933742,4,False,6565,12910,valve_0085_lidar_classes.ply
6,417,complex,poisson,0.18054961608315087,0.4416305201230897,0.3778198637937595,0.06570373950441029,0.9017112676179688,14,0.03082604009739521,0.1200280261333389,0.08497068061306123,9,False,4443,8642,valve_0085_lidar_classes.ply
7,60,tube,ball_pivoting,0.9769633338330006,0.0038257713132394174,0.01921089485376001,0.08500869323398294,0.9363669168284289,3,0.011615610833966523,0.025880660392187636,0.0236771353794221,3,False,60,48,valve_0085_lidar_classes.ply
8,1599,complex,poisson,0.4436462076118745,0.5159678564223991,0.04038593596572644,0.06537210730365613,0.9257659919484525,2,0.013493956526594948,0.10506446594344057,0.04502577511003261,4,False,5060,10046,valve_0085_lidar_classes.ply
9,1199,complex,poisson,0.32551811985975887,0.6280454925884655,0.04643638755177562,0.05456021412064818,0.9456390633037827,2,0.01584584387692201,0.11639876753242653,0.05382611402251162,5,False,4746,9396,valve_0085_lidar_classes.ply
10,3649,plane,alpha_shape,0.17082087534027537,0.547042910137847,0.2821362145218776,0.04733284976854417,0.9632666046395069,5,0.01116036215256471,0.0178487662781896,0.01895892352644845,5,False,2739,6158,valve_0085_lidar_classes.ply
11,663,plane,alpha_shape,0.10994613557634612,0.8642828073032369,0.025771057120416937,0.03541773729468546,0.9733140587830287,2,0.01214344158462216,0.02002553129437796,0.02037513158044764,2,False,591,1250,valve_0085_lidar_classes.ply
12,1167,plane,alpha_shape,0.11657973409626249,0.8033361663821583,0.08008409952157915,0.04523539701358014,0.9632450763456559,1,0.012535493070836956,0.024847439530599816,0.02276299914925036,1,False,975,2114,valve_0085_lidar_classes.ply
13,727,complex,poisson,0.13126114515197568,0.4171518960170471,0.4515869588309772,0.06912761070964317,0.9242776146328607,1,0.011550567184733537,0.028142924177692947,0.020889611695666763,3,False,3094,6015,valve_0085_lidar_classes.ply
2,715,complex,poisson,0.2192804038215106,0.4309734997539828,0.34974609642450666,0.08219393038929397,0.8854839013019943,18,0.024659915782943295,0.14314971488059938,0.09148197062086613,2,False,6222,12132,valve_0086_lidar_classes.ply
3,65,tube,ball_pivoting,0.8802863471998148,0.09710054873021062,0.022613104069974573,0.09635434015971117,0.8765670668192733,2,0.010254363825734684,0.018376947604200628,0.01769266018722694,2,False,65,56,valve_0086_lidar_classes.ply
5,1560,complex,poisson,0.3311876361951661,0.6002322482861471,0.06858011551868683,0.101248582348274,0.8156720463171983,1,0.02062190406830329,0.2420128063717885,0.11049922585597584,6,False,7700,15168,valve_0086_lidar_classes.ply
6,143,complex,poisson,0.4276739619919756,0.16206483918133008,0.4102611988266943,0.05038923032485148,0.8800006216997706,16,0.035285954550153736,0.1568969512352452,0.10352595195705529,3,False,3039,5743,valve_0086_lidar_classes.ply
8,1550,complex,poisson,0.28363310111162215,0.674777995578092,0.04158890331028577,0.05375241005396164,0.9423505538405308,3,0.013568226082393333,0.1065921400687147,0.04468203515677274,1,False,5264,10466,valve_0086_lidar_classes.ply
9,1612,complex,poisson,0.38139159611037016,0.5671690092814551,0.05143939460817478,0.0636947813634601,0.9261649970423638,1,0.014495285386092568,0.09117246334721912,0.0419776866100493,5,False,5471,10838,valve_0086_lidar_classes.ply
10,3434,complex,poisson,0.16773934198295803,0.44526854858205966,0.3869921094349823,0.04783705259972033,0.9648995184885839,5,0.011778894942506224,0.09349462905884469,0.036166288045976394,7,False,8571,16963,valve_0086_lidar_classes.ply
11,902,plane,alpha_shape,0.23235834472573702,0.7376671947412937,0.029974460532969285,0.04587660459843791,0.9616386406263308,3,0.012456753180344712,0.021120989405367788,0.021625211912875808,1,False,753,1572,valve_0086_lidar_classes.ply
12,1241,plane,alpha_shape,0.08772870283928157,0.8322613913838762,0.08000990577684221,0.043939409429618964,0.9665768539730046,1,0.0120418626260461,0.02049793253395305,0.02145197638521691,1,False,1048,2280,valve_0086_lidar_classes.ply
13,638,complex,poisson,0.005545435981058524,0.6201664175489378,0.37428814647000375,0.07531433493073457,0.8989477666494414,1,0.012625092591745237,0.03369887599912385,0.023308218163700857,5,False,2998,5794,valve_0086_lidar_classes.ply
2,682,complex,poisson,0.2491120543654708,0.36008018160170135,0.3908077640328279,0.07525649146871677,0.9011607464691738,17,0.028654947537111224,0.15711985057958713,0.10057686504075007,4,False,6070,11876,valve_0087_lidar_classes.ply
3,75,tube,ball_pivoting,0.8647704332695166,0.11061830324966022,0.024611263480823174,0.06650257160004468,0.9030972120678026,1,0.009256800299599039,0.025127379143908758,0.019529877023705237,1,False,75,96,valve_0087_lidar_classes.ply
5,1604,complex,poisson,0.30736296328036766,0.6417559083662485,0.050881128353383764,0.09297724384998521,0.8336111126324103,1,0.0171913336787924,0.10644979537882962,0.05756483875255246,6,False,6197,12224,valve_0087_lidar_classes.ply
6,416,complex,poisson,0.4229192619416037,0.19322479858489106,0.38385593947350527,0.0739598457137883,0.9168170841948586,19,0.02670871557283899,0.14215257323048125,0.09182020443869887,6,False,5118,9913,valve_0087_lidar_classes.ply
7,82,tube,ball_pivoting,0.9739534961613278,0.007016556764519082,0.01902994707415321,0.08611112835309,0.847084006861004,4,0.010353128907624163,0.0327674896647141,0.021422187517714242,3,False,82,88,valve_0087_lidar_classes.ply
8,2084,complex,poisson,0.29909500273466033,0.6568075442906555,0.04409745297468422,0.06462815651320716,0.9221626396493174,3,0.012562106081489952,0.06770293218205073,0.029360359455610437,3,False,5964,11835,valve_0087_lidar_classes.ply
9,1497,complex,poisson,0.3948797557001486,0.5618587554098569,0.04326148888999462,0.06271798107700997,0.9265354528481116,2,0.014847970900976585,0.13736121608704985,0.0564314625418875,5,False,5634,11129,valve_0087_lidar_classes.ply
10,3490,complex,poisson,0.2548294339710148,0.2884657920590827,0.45670477396990256,0.043128109472820746,0.9660966170394927,3,0.011315869684986076,0.05033751453674445,0.02568638102779082,2,False,8016,15861,valve_0087_lidar_classes.ply
11,664,plane,alpha_shape,0.43228295191390453,0.5445449956461843,0.02317205243991121,0.03244320263387532,0.9731183287823235,2,0.011713376479096425,0.020139261993598376,0.020152690375433942,2,False,586,1294,valve_0087_lidar_classes.ply
12,1284,plane,alpha_shape,0.14944718953959243,0.7735651640328574,0.07698764642755027,0.045551200242417975,0.9643447562158517,1,0.012579282121285505,0.0228416699439717,0.02273946997347692,1,False,1049,2304,valve_0087_lidar_classes.ply
13,724,complex,poisson,0.11719006114135015,0.4253981324214038,0.45741180643724605,0.0815086833017797,0.8976337922983115,1,0.012032717584061015,0.029118619300560578,0.022271588775750743,2,False,3065,5928,valve_0087_lidar_classes.ply
2,522,complex,poisson,0.19944701191056016,0.5352578070769227,0.26529518101251715,0.07495339128230499,0.8887502037039615,15,0.027235698652228364,0.1981290798122739,0.11011217987300922,5,False,5103,9919,valve_0088_lidar_classes.ply
3,70,complex,poisson,0.8371306896818778,0.1395763921923679,0.023292918125754312,0.06558196471407872,0.9543630611618764,1,0.011824426928474265,0.07118320274452238,0.03771150633179939,7,False,1497,2835,valve_0088_lidar_classes.ply
5,1588,complex,poisson,0.271351041222386,0.6615705130547878,0.06707844572282623,0.09449309482906254,0.8221110693189891,1,0.02041801723923569,0.18022347788377066,0.08777134552003772,8,False,7053,13870,valve_0088_lidar_classes.ply
6,199,complex,poisson,0.18907519434295283,0.5121968168855692,0.298727988771478,0.0861504777828439,0.8568485234889336,15,0.041045900518630066,0.19407026874097183,0.12765621087106954,4,False,4012,7768,valve_0088_lidar_classes.ply
7,71,tube,ball_pivoting,0.9772612537918949,0.006429864512007557,0.016308881696097545,0.08857834771793037,0.8775060134222193,3,0.0222744871895954,0.06784736758268231,0.04245811117995539,3,False,71,56,valve_0088_lidar_classes.ply
8,1891,tube,ball_pivoting,0.5906086057041202,0.37073047893365824,0.038660915362221625,0.0650231593900632,0.9190614183413242,2,0.012035373308362232,0.023414443183967425,0.021560068300480788,3,False,1891,2460,valve_0088_lidar_classes.ply
9,1110,tube,ball_pivoting,0.5029645313921555,0.4526184736479538,0.04441699495989075,0.05179968845405185,0.9467292356013981,2,0.012189191213234378,0.020466153296920253,0.02089376053133235,1,False,1110,1629,valve_0088_lidar_classes.ply
10,2932,complex,poisson,0.46203490049776014,0.161465881748316,0.37649921775392386,0.0439797395764025,0.9669045952230898,3,0.012156555977092953,0.05734803379244592,0.028599325896353965,1,False,7211,14229,valve_0088_lidar_classes.ply
11,807,plane,alpha_shape,0.21879914056560246,0.7559584776889299,0.025242381745467668,0.04806510440132945,0.9565005874256693,1,0.012897089436767296,0.02152510962800795,0.022262613580248527,3,False,667,1414,valve_0088_lidar_classes.ply
12,1211,plane,alpha_shape,0.17962636035270227,0.7402029198052489,0.08017071984204892,0.041495159000862376,0.9633950670944226,1,0.012859307483796219,0.024288354848721858,0.023072919732320823,2,False,1023,2274,valve_0088_lidar_classes.ply
13,689,complex,poisson,0.08840986661478725,0.4210015749502323,0.49058855843498045,0.08146668726640845,0.8924895616062689,1,0.013325493958014778,0.03216432087299078,0.023903910651010336,1,False,2748,5295,valve_0088_lidar_classes.ply
2,652,complex,poisson,0.2540473679179639,0.3715447792641896,0.3744078528178465,0.08183505646578666,0.8713242987508599,15,0.023550337394561045,0.16966176834605232,0.09702888038634067,3,False,5753,11162,valve_0089_lidar_classes.ply
3,66,tube,ball_pivoting,0.8548258066735616,0.11956716100305173,0.02560703232338672,0.086514882202219,0.8987329914592492,2,0.010366451030196932,0.027353201205890146,0.01968833667461106,2,False,66,67,valve_0089_lidar_classes.ply
5,1570,complex,poisson,0.3264538282339014,0.6216680108715278,0.05187816089457089,0.10639913666205966,0.7957975700633518,1,0.02142144829896991,0.26590697007251407,0.12839985871017,8,False,7630,14998,valve_0089_lidar_classes.ply
6,137,complex,poisson,0.41162213918930574,0.13424410625270472,0.45413375455798954,0.037546304901532074,0.8558807474533981,15,0.03494091606133816,0.15158777703269066,0.09919808421353027,5,False,3659,6963,valve_0089_lidar_classes.ply
7,74,tube,ball_pivoting,0.955008546316838,0.027334717687778627,0.017656735995383453,0.08358402498249946,0.9049145575689266,3,0.01289585687848477,0.045623973434936384,0.029878628785020036,2,False,74,67,valve_0089_lidar_classes.ply
8,1222,complex,poisson,0.3345822303835655,0.6182089502191409,0.047208819397293655,0.06168068617118508,0.9319186072916895,2,0.01626790142436255,0.11938468210012194,0.05342258651875829,6,False,4921,9741,valve_0089_lidar_classes.ply
9,1711,complex,poisson,0.3847789408591182,0.577760729815851,0.037460329325030746,0.062288447118502004,0.9264217161073931,1,0.013606405648224608,0.12031113847880899,0.044478585483119025,4,False,5321,10570,valve_0089_lidar_classes.ply
10,3510,complex,poisson,0.15183449991084852,0.4690687925876995,0.37909670750145197,0.045891667158719604,0.9669226076444039,1,0.011634093248028778,0.08939545859583925,0.034733705449127204,5,False,9239,18298,valve_0089_lidar_classes.ply
